name,pop,lat,lon
New York ,8287238,40.7305991,-73.9865812
Los Angeles ,3826423,34.053717,-118.2427266
Chicago ,2705627,41.8755546,-87.6244212
Houston ,2129784,29.7589382,-95.3676974
Philadelphia ,1539313,39.952335,-75.163789
Phoenix ,1465114,33.4467681,-112.0756724
San Antonio ,1359174,29.4246002,-98.4951405
San Diego ,1321016,32.7174209,-117.1627714
Dallas ,1219399,32.7761963,-96.7968994
San Jose ,971495,37.3438502,-121.8831349
Austin ,839714,30.2711286,-97.7436995
Jacksonville ,829543,30.3321838,-81.655651
Indianapolis  ,827346,39.7683331,-86.1583502
San Francisco ,816239,37.7792768,-122.4192704
Columbus ,799270,39.9622601,-83.0007065
Fort Worth ,761895,32.753177,-97.3327459
Charlotte ,756204,35.2270869,-80.8431268
Detroit ,702149,42.3486635,-83.0567375
El Paso ,665503,31.8111305,-106.5013493
Memphis ,655975,35.1490215,-90.0516285
Boston ,630645,42.3604823,-71.0595678
Seattle ,622175,47.6038321,-122.3300624
Baltimore ,620889,39.2908608,-76.6108073
Washington ,620427,38.8949549,-77.0366456
Denver ,619390,39.7391536,-104.9847034
Nashville-Davidson   ,612243,36.187025,-86.78086153
Louisville/Jefferson County   ,601709,38.209237,-85.7038502
Milwaukee ,597435,43.0349931,-87.922497
Portland ,593859,45.5202471,-122.6741949
Oklahoma City ,589896,35.4729886,-97.5170536
Las Vegas ,588257,36.1662859,-115.149225
Albuquerque ,551813,35.0841034,-106.6509851
Tucson ,524192,32.2217422,-110.9264759
Fresno ,501357,36.7394421,-119.7848307
Sacramento ,471625,38.5815719,-121.4943996
Long Beach ,465825,33.7774658,-118.1884871
Kansas City ,462035,39.0844687,-94.5630298
Mesa ,444954,33.436188,-111.5860661
Virginia Beach ,442984,36.7953025,-76.05092502
Atlanta ,432135,33.7490987,-84.3901849
Omaha ,429604,41.2587317,-95.9378732
Colorado Springs ,427416,38.8339578,-104.8253485
Raleigh ,414135,35.7804015,-78.6390779
Miami ,412438,25.7742658,-80.1936589
Oakland ,396649,37.8044557,-122.2713563
Tulsa ,392751,36.1556805,-95.9929113
Cleveland ,392505,41.5051613,-81.6934446
Minneapolis ,388253,44.9772995,-93.2654692
Wichita ,383696,37.6922361,-97.3375448
Arlington ,370908,32.7355816,-97.1071186
New Orleans ,360877,29.9499323,-90.0701156
Bakersfield ,353533,35.3738712,-119.0194639
Tampa ,346934,27.9477595,-82.458444
Anaheim ,340830,33.8347516,-117.911732
Santa Ana ,328856,33.7499595,-117.8732826
St. Louis ,319188,38.6272733,-90.1978889
Riverside ,310025,33.9533546,-117.3961623
Corpus Christi ,308069,27.8002542,-97.3955744
Pittsburgh ,306099,40.4416941,-79.9900861
Lexington-Fayette urban county,301213,38.0464066,-84.4970393
Cincinnati ,296114,39.1014537,-84.5124602
Stockton ,295386,37.9577016,-121.2907796
St. Paul ,288884,44.9504037,-93.1015026
Toledo ,285549,41.6786754,-83.5127283
Newark ,277854,40.735657,-74.1723667
Greensboro ,272521,36.0726355,-79.7919754
Plano ,267620,33.0136764,-96.6925096
Lincoln ,262389,40.8000554,-96.6674005
Buffalo ,260525,42.8864468,-78.8783689
Henderson ,259958,40.8156124,-90.9104547
Fort Wayne ,254607,41.0799898,-85.1386015
Jersey City ,253117,40.7281575,-74.0776417
Chula Vista ,248684,32.6400541,-117.0841955
St. Petersburg ,246042,27.7703796,-82.6695085
Orlando ,243787,28.5421175,-81.3790462
Laredo ,241188,27.5060991,-99.5088979
Chandler ,239977,33.3067132,-111.8408489
Madison ,236923,43.074761,-89.3837613
Lubbock ,233586,33.5778631,-101.8551665
Winston-Salem ,231873,36.0998167,-80.2441445
Hialeah ,231352,25.8670435,-80.29146312
Garland ,230205,32.912624,-96.6388833
Baton Rouge ,228939,30.4507462,-91.154551
Glendale ,228645,34.1423455,-118.2483671
Chesapeake ,225333,36.8190369,-76.2749399
Irvine ,220528,33.6856969,-117.8259819
Irving ,220012,32.8629195,-96.97917017
Scottsdale ,219841,33.5091215,-111.8992365
North Las Vegas ,218971,36.2008371,-115.1120958
Fremont ,217630,37.5482697,-121.9885719
Gilbert ,214057,33.294207,-111.7379465
San Bernardino ,212061,34.1083449,-117.2897652
Rochester ,210891,43.1854754,-77.61068605
Boise City ,209280,43.5988375,-116.243255
Spokane ,209025,47.6588603,-117.4247134
Montgomery ,207513,32.3669656,-86.3006485
Richmond ,206977,37.5385087,-77.43428
Des Moines ,205908,41.5910641,-93.6037149
Modesto ,204312,37.6390972,-120.9968782
Shreveport ,201875,32.4828485,-93.82848316
Fayetteville ,201485,36.111508,-94.20986672
Oxnard ,200080,34.1975048,-119.1770516
Tacoma ,199882,47.2495798,-122.4398746
Fontana ,199879,34.0922335,-117.435048
Akron ,198909,41.0830643,-81.5184854
Yonkers ,197772,40.9312099,-73.8987469
Moreno Valley ,196970,33.937517,-117.2305944
Little Rock ,195279,34.7464809,-92.2895948
Columbus ,195272,39.9622601,-83.0007065
Mobile ,194806,30.6943566,-88.0430541
Amarillo ,193907,35.2072185,-101.8338246
Huntington Beach ,193366,33.6781238,-118.0000112
Glendale ,193214,34.1423455,-118.2483671
Grand Rapids ,189054,42.9632405,-85.6678639
Salt Lake City ,188158,40.7670126,-111.8904308
Tallahassee ,183442,30.4380832,-84.2809332
Huntsville ,182219,34.577718,-86.83583561
Knoxville ,180606,35.9603948,-83.9210261
Newport News ,180356,37.016827,-76.4505196
Grand Prairie ,178811,32.7459645,-96.9977846
Brownsville ,178551,25.9140256,-97.4890856
Providence ,178375,41.8239891,-71.4128343
Santa Clarita ,177843,34.3916641,-118.542586
Overland Park ,176068,38.9822282,-94.6707917
Jackson ,175448,32.2990384,-90.1847691
Garden Grove ,173281,33.7746292,-117.9463717
Chattanooga ,170486,35.0456297,-85.3096801
Oceanside ,169795,33.1958696,-117.3794834
Fort Lauderdale ,169045,26.1223084,-80.1433786
Rancho Cucamonga ,168210,34.1063989,-117.5931084
Port St. Lucie ,167112,27.2939333,-80.3503283
Tempe ,163730,33.4144139,-111.9094474
Springfield ,160408,39.7989763,-89.6443688
Lancaster ,158474,40.03813,-76.3056686
Cape Coral ,157680,26.6069232,-81.9802626
Pembroke Pines ,157568,26.02322025,-80.34123892
Eugene ,157237,44.0505054,-123.0950506
Sioux Falls ,156757,43.5499749,-96.700327
Peoria ,156708,40.6938609,-89.5891008
Salem ,156248,44.9391565,-123.033121
Elk Grove ,155844,38.4087993,-121.3716178
Macon-Bibb County,155632,32.8406946,-83.6324022
Corona ,155005,40.7469593,-73.8601456
Palmdale ,154440,34.5793131,-118.1171108
Springfield ,153798,39.7989763,-89.6443688
Salinas ,152667,36.6777078,-121.6560114
Rockford ,151930,42.2713945,-89.093966
Pasadena ,151308,34.1476452,-118.1444779
Pomona ,150065,34.0552886,-117.7522793
Joliet ,147895,41.525031,-88.0817252
Hayward ,147030,37.6688205,-122.0807964
Torrance ,146461,33.8358492,-118.3406288
Kansas City ,146281,39.0844687,-94.5630298
Escondido ,146247,33.1216751,-117.0814849
Bridgeport ,146110,41.1670412,-73.2048348
Fort Collins ,145977,40.5508527,-105.0668085
Paterson ,145962,40.9167654,-74.171811
